customer_id,country,age_range,signup_date
178,Netherlands,46-55,2025-03-03
,Spain,46-55,2024-06-13
646,Spain,56-65,2025-02-17
630-X,,16-25,2024-05-02
255,Spain,26-35,2024-07-26
68,Italy,46-55,2024-10-03
333,Netherlands,16-25,2024-02-17
542,France,46-55,2025-01-08
407,Italy,16-25,2025-02-22
360,France,16-25,2025-03-06
414,Germany,46-55,2025-03-29
595,Italy,26-35,2024-08-12
412,France,46-55,2024-02-21
934,Portugal,26-35,2024-08-17
627,Netherlands,36-45,2024-07-21
440,,16-25,2024-06-08
302-X,Germany,56-65,2025-03-13
137,France,16-25,2025-01-22
695-X,Spain,56-65,2025-02-17
390,Germany,46-55,2025-03-26
223,Germany,16-25,2025-03-27
882,Spain,56-65,2024-06-11
546,France,36-45,2024-08-20
619,Italy,26-35,2025-02-19
671,Netherlands,26-35,2024-05-03
305,Germany,46-55,2025-02-09
353,Germany,36-45,2024-02-04
622-X,Netherlands,,2024-11-19
670,Italy,36-45,2025-04-21
775,Portugal,16-25,2024-10-30
547,France,36-45,2025-05-22
403,Germany,26-35,
596,Italy,26-35,2025-05-15
253,,26-35,
795,Germany,,2025-05-13
578,Germany,16-25,2025-04-03
574,Italy,16-25,2025-04-25
707,France,46-55,2025-02-06
588,Portugal,56-65,2025-04-12
66,Italy,56-65,2024-07-10
752,Italy,56-65,
54,Italy,26-35,2025-02-13
377,Spain,16-25,2025-02-03
348,Germany,36-45,2025-02-19
379,Germany,46-55,2025-04-03
197,France,56-65,2024-03-21
56,Italy,16-25,2024-09-14
971,France,16-25,2024-05-26
689,Spain,56-65,2025-03-19
192,Spain,46-55,2025-03-03
76,,56-65,2025-02-17
988,Portugal,16-25,2025-02-23
851,France,46-55,2025-03-21
242,Netherlands,46-55,2025-04-11
749,Spain,56-65,2025-03-28
617,Netherlands,26-35,2025-03-30
113,Germany,26-35,2025-02-28
47,Germany,26-35,2025-04-07
113,,26-35,2025-02-28
794,Italy,56-65,2024-04-08
889,Germany,26-35,2024-06-09
825-X,Netherlands,26-35,2025-02-09
591,Germany,36-45,2024-02-23
74,France,36-45,2025-06-06
935,Italy,46-55,2025-01-14
635,Portugal,36-45,2024-10-20
285,France,16-25,2025-02-10
432,Germany,36-45,2025-01-22
18,France,36-45,2025-03-03
434,France,16-25,2024-02-05
693,Netherlands,26-35,2025-03-13
130,Germany,16-25,2025-02-24
868-X,,16-25,
37,Netherlands,46-55,2025-03-02
90,Germany,36-45,2025-04-14
206,Spain,36-45,2025-04-29
218,Germany,16-25,2025-03-19
594,Spain,56-65,2024-08-11
751,France,56-65,2025-04-17
148,Netherlands,26-35,2025-03-03
40,Spain,56-65,2024-04-09
831-X,Germany,,2025-04-21
793,Italy,36-45,2025-05-10
933,Italy,36-45,2024-02-07
972,France,26-35,2025-03-11
753,Netherlands,36-45,2024-09-19
451,France,36-45,2025-05-09
269,Spain,36-45,2025-02-27
697,Germany,56-65,2025-03-31
711,France,16-25,2025-05-04
951,Portugal,26-35,2025-02-19
760,Portugal,56-65,2024-04-21
764,France,26-35,2025-05-12
664-X,France,56-65,2025-04-18
819,Italy,46-55,2025-03-06
501,Italy,36-45,2025-03-19
CUST-710,,36-45,2025-02-05
291,Germany,16-25,2024-03-05
258,Netherlands,46-55,2025-05-26
522,Spain,16-25,2025-02-12
806,Italy,26-35,2025-05-02
603-X,Germany,,2024-02-22
752,Italy,,2025-04-08
26,Netherlands,46-55,2024-05-01
946,France,16-25,2025-04-03
672,Germany,56-65,2025-01-23
41,Germany,36-45,2025-04-06
819,Italy,46-55,2025-03-06
976,Italy,26-35,2025-04-30
963,Germany,46-55,2025-03-25
252,Italy,16-25,2025-03-02
31,France,46-55,
883,Italy,56-65,2025-03-29
182,France,46-55,2025-03-22
445,Italy,46-55,2025-03-25
795,Germany,36-45,2025-05-13
724,France,56-65,2024-12-03
227,,46-55,2025-04-23
484,,56-65,2025-04-26
782,Italy,56-65,2025-03-28
117,Germany,56-65,2025-03-27
654-X,,56-65,2025-05-05
808,Netherlands,26-35,2024-05-10
357,Italy,36-45,2025-02-20
25,Italy,36-45,2025-03-24
378,France,56-65,2024-10-09
174,Germany,26-35,2025-05-27
467-X,Spain,26-35,2025-06-09
587,Germany,36-45,2025-05-09
131,Germany,46-55,2025-03-28
467,Spain,26-35,2025-06-09
423,Italy,16-25,2025-01-22
912,Germany,56-65,2025-02-24
842,Italy,46-55,2025-02-17
CUST-379,,46-55,2025-04-03
CUST-785,France,56-65,
108,France,46-55,2024-11-15
115,Germany,56-65,2025-03-24
483,Netherlands,16-25,2025-03-21
CUST-750-X,Spain,,2025-04-10
127,Netherlands,56-65,2025-05-02
245,France,26-35,2024-08-02
464,Germany,36-45,2025-04-14
705,Spain,26-35,2025-02-23
770,Portugal,36-45,2025-03-28
173,Germany,26-35,2025-02-04
649,Italy,56-65,2025-02-23
690,Spain,46-55,2025-04-30
898,Italy,36-45,2025-02-28
494,Italy,36-45,2024-08-18
157,Italy,56-65,2025-05-11
123,Italy,26-35,2025-03-19
248,Germany,46-55,2024-09-08
CUST-889-X,Germany,,2024-06-09
669,Netherlands,36-45,2024-07-19
11,France,16-25,2024-07-07
401,France,26-35,2025-04-19
811,France,26-35,2025-01-22
CUST-624-X,,36-45,2025-03-11
63,Netherlands,16-25,2025-04-28
754,Spain,26-35,2025-01-20
236,Netherlands,46-55,2024-09-26
143,Netherlands,56-65,2025-05-19
190,Italy,26-35,2025-03-23
681,Germany,16-25,2025-02-07
752,Italy,56-65,2025-04-08
809,France,36-45,2025-02-07
608,France,26-35,2025-02-12
23,France,56-65,2025-02-09
240,Netherlands,26-35,2024-09-27
61,,46-55,
,Portugal,56-65,2025-04-04
12,Germany,46-55,2025-06-11
874,Spain,16-25,2024-07-12
241-X,Spain,46-55,2025-03-27
128,Netherlands,56-65,2025-03-09
721,Netherlands,16-25,2025-02-27
282,Italy,16-25,2024-02-10
CUST-411-X,Germany,,2025-04-13
798,Portugal,46-55,2025-03-14
301,France,26-35,2025-03-24
725,Spain,36-45,2025-04-14
53,Italy,46-55,2025-05-12
1000,Spain,56-65,2024-01-06
277,Italy,16-25,2025-02-26
878,Germany,26-35,2025-03-29
140,France,16-25,2024-11-11
942,Italy,36-45,2024-01-27
676,Portugal,26-35,2025-04-26
334,France,16-25,2025-02-10
CUST-957-X,France,16-25,
CUST-124,France,,
621,Italy,36-45,2024-09-03
980,Italy,26-35,2024-07-10
902,,16-25,
728,Netherlands,56-65,2025-04-02
417,Spain,36-45,2025-03-03
461,Germany,26-35,2025-03-27
CUST-548,Germany,,2025-03-09
226,Netherlands,16-25,2025-02-16
CUST-407-X,Italy,,2025-02-22
718,Italy,16-25,2025-04-01
432,Germany,36-45,
110,Spain,36-45,2024-05-10
585,Portugal,16-25,2024-04-22
704,Germany,16-25,2025-04-10
98,France,26-35,2024-02-20
385,Germany,46-55,2025-04-11
532,France,26-35,2024-11-13
218,Germany,16-25,2025-03-19
341,France,16-25,2025-04-20
72-X,Spain,36-45,2025-02-20
79,Spain,16-25,2024-08-23
664,France,56-65,2025-04-18
501,Italy,36-45,2025-03-19
706-X,France,36-45,2025-04-26
521,France,46-55,2025-03-18
424,Italy,36-45,2024-08-09
296,France,16-25,2025-06-02
680,Spain,56-65,2024-09-15
343,France,26-35,2024-10-19
400,Netherlands,16-25,2025-02-16
448,France,26-35,2024-03-26
998,France,36-45,2025-01-07
CUST-897,France,56-65,
649,Italy,,2025-02-23
910,Portugal,46-55,2024-07-13
375,Germany,36-45,2025-02-28
CUST-48-X,Germany,56-65,2025-03-22
144,Germany,46-55,2025-03-09
344,Netherlands,16-25,2025-04-03
53,Italy,46-55,
637,Portugal,56-65,2024-10-06
CUST-204-X,,16-25,2025-05-03
409,Netherlands,46-55,2024-08-18
325,Germany,36-45,2025-03-26
710,France,36-45,2025-02-05
CUST-449,Italy,46-55,2024-10-10
201,France,36-45,2025-04-14
48,Germany,56-65,2025-03-22
281,Germany,46-55,2025-01-14
706,France,36-45,2025-04-26
922,Spain,16-25,
812,Spain,56-65,2024-02-23
391,Spain,36-45,2024-02-11
302,Germany,,2025-03-13
869,Netherlands,56-65,2025-03-09
CUST-151-X,Spain,56-65,2025-04-02
964,Spain,26-35,2025-01-01
249,Netherlands,46-55,2024-07-08
871,Netherlands,26-35,2025-04-08
85,,56-65,2024-07-06
778,Italy,56-65,2024-09-10
392,Netherlands,36-45,2025-02-20
318,France,46-55,2025-02-20
953,France,16-25,2025-03-02
907,Spain,46-55,2025-03-11
172,Italy,26-35,2025-01-31
787,Italy,46-55,2025-02-19
205,Netherlands,26-35,2024-12-25
200,Italy,26-35,2024-02-19
644,Portugal,36-45,2024-11-20
373,Spain,56-65,2025-02-25
499,France,36-45,2025-05-06
189,Germany,46-55,2025-04-19
103,France,56-65,2025-02-17
713,France,36-45,2024-05-27
130,Germany,16-25,2025-02-24
509,Netherlands,36-45,2025-01-29
609,Italy,56-65,2025-02-13
CUST-309,Spain,46-55,2025-04-18
158,Netherlands,26-35,2025-05-21
60,Italy,56-65,2025-02-17
974,Italy,26-35,2025-06-02
962,Portugal,56-65,2025-04-04
13,Netherlands,56-65,2024-01-21
CUST-345,Netherlands,36-45,2024-04-08
159,Spain,26-35,2024-12-05
402,Italy,16-25,2025-04-29
840,Germany,36-45,2025-04-18
272,Netherlands,56-65,2025-05-25
915,Spain,56-65,2025-03-18
773-X,Spain,46-55,2025-04-06
914,Spain,26-35,2025-03-29
969,Portugal,16-25,2024-10-30
620,Netherlands,56-65,2025-04-20
807,Germany,16-25,2025-04-14
542,France,46-55,2025-01-08
849,Italy,56-65,2025-05-25
922,Spain,16-25,2025-04-25
674,Netherlands,26-35,2024-07-05
219,Netherlands,46-55,2024-07-09
804,Italy,26-35,2025-05-05
516,Germany,36-45,2025-03-27
97,Germany,26-35,2025-03-21
625,Portugal,46-55,2025-01-28
275,Germany,26-35,2024-08-04
888,Spain,16-25,2024-06-17
864,Netherlands,36-45,2025-03-27
188,France,46-55,2025-02-22
891,Portugal,46-55,
877,France,,2025-05-13
732,Germany,16-25,2024-05-08
CUST-455,Netherlands,36-45,
544,Germany,26-35,2024-04-05
396,Netherlands,36-45,2025-04-07
179,Netherlands,46-55,2024-09-20
563,Netherlands,46-55,2025-04-06
877-X,France,26-35,2025-05-13
81,Germany,46-55,2025-04-03
69,Germany,16-25,2025-05-21
428,Spain,56-65,2025-04-18
186,Netherlands,46-55,2025-03-27
155,Germany,26-35,2025-02-19
133,France,36-45,2025-01-07
472,France,36-45,2025-03-16
399,Italy,,2024-06-27
CUST-574-X,Italy,16-25,
628,France,46-55,2025-02-21
612,Italy,36-45,2025-02-06
533,Spain,46-55,2024-06-13
55,France,26-35,2024-11-04
659,Portugal,46-55,2025-03-19
816,Netherlands,16-25,2025-02-04
32,Netherlands,16-25,2024-03-28
647,France,16-25,2025-05-23
384,Germany,16-25,2025-04-22
280,Germany,26-35,2025-02-15
CUST-348,Germany,36-45,
815,Spain,26-35,2024-06-09
336,Italy,46-55,2025-02-16
913-X,,,2025-01-27
456-X,Italy,26-35,2025-01-31
768,France,36-45,2025-01-19
505,Germany,26-35,2025-03-28
195,France,56-65,2025-02-28
340,Italy,46-55,2025-03-18
455,Netherlands,36-45,
771,Portugal,16-25,2025-02-21
486,Netherlands,56-65,2024-11-26
693-X,Netherlands,,
567,Netherlands,26-35,2025-04-19
921,Italy,46-55,2025-05-03
371,Netherlands,36-45,2025-02-01
350,France,36-45,2025-02-27
CUST-671,Netherlands,26-35,2024-05-03
155-X,,26-35,2025-02-19
213,France,26-35,2024-04-15
763,Spain,26-35,2024-02-29
400-X,,16-25,2025-02-16
507,France,56-65,2025-01-11
345,Netherlands,36-45,2024-04-08
458,Italy,56-65,2024-03-02
891,Portugal,46-55,2025-03-28
366,France,26-35,2024-08-05
810,Netherlands,26-35,2024-05-31
492,Germany,26-35,2025-02-27
898,Italy,,2025-02-28
9,Spain,46-55,2025-03-07
398,Spain,16-25,2025-01-26
618,Netherlands,16-25,2024-07-16
92,Italy,46-55,2025-03-14
748,Netherlands,46-55,2025-03-09
525,Italy,16-25,2025-04-23
966,France,46-55,2025-03-28
823,Germany,46-55,2025-05-10
843,France,16-25,2025-03-24
831,Germany,36-45,2025-04-21
622,Netherlands,26-35,2024-11-19
526-X,,26-35,2024-09-15
124,France,36-45,2025-04-15
929,Netherlands,26-35,2025-01-11
CUST-38,,,2025-06-03
419,Spain,36-45,2025-03-28
319,Germany,46-55,2024-02-10
202-X,Netherlands,,2025-05-16
139,Germany,16-25,2025-02-26
94,France,16-25,2025-04-04
229-X,,46-55,2024-07-20
493,Germany,56-65,2025-02-17
904,Germany,26-35,2025-01-18
887,Italy,,2025-03-20
784,Netherlands,56-65,2024-02-06
750,Spain,46-55,2025-04-10
422,Netherlands,46-55,2025-02-25
677,,36-45,2025-03-12
149,Netherlands,26-35,2024-02-22
854-X,,,2025-02-24
801,Netherlands,46-55,2025-01-27
487,Germany,16-25,2024-05-07
89,France,26-35,2024-07-08
39,France,36-45,2025-04-05
359,France,16-25,2025-03-31
937,France,46-55,2024-12-30
875,Italy,36-45,2024-11-05
592-X,,,2024-12-08
811-X,France,,2025-01-22
449,Italy,46-55,2024-10-10
93,Italy,26-35,2025-03-21
603,Germany,16-25,2024-02-22
CUST-412,,46-55,2024-02-21
788,Germany,16-25,2024-01-09
138,France,56-65,2024-03-29
877,France,26-35,2025-05-13
225,France,26-35,2025-03-12
919,Spain,36-45,2024-06-24
380,Italy,46-55,2025-03-15
569,France,36-45,2025-03-18
528,Spain,36-45,2024-07-16
224,France,36-45,2024-02-13
504,,16-25,2025-04-21
,Netherlands,16-25,2025-04-28
CUST-18-X,France,,2025-03-03
42,Spain,46-55,2025-04-19
703,Germany,16-25,2025-03-30
579,France,46-55,2024-04-22
899,Germany,26-35,2024-10-03
762,Spain,36-45,2025-03-25
989,Spain,46-55,2024-06-20
245,France,26-35,2024-08-02
427,Spain,26-35,2025-03-26
976,,26-35,2025-04-30
773,Spain,46-55,2025-04-06
506,France,26-35,2025-05-22
406,Spain,36-45,2024-12-17
855-X,Spain,16-25,2025-03-12
931,France,46-55,2024-06-06
630,Portugal,16-25,2024-05-02
745-X,Italy,46-55,2025-04-10
262,Netherlands,26-35,2024-02-22
290,Italy,16-25,2024-10-27
47,,26-35,2025-04-07
58,Germany,46-55,2025-04-11
126,Netherlands,26-35,2025-02-01
246,Spain,26-35,2025-05-02
163,Italy,16-25,2025-03-18
643,Portugal,,2025-02-26
310,Spain,56-65,2024-06-11
352,Netherlands,46-55,2024-08-01
312,Germany,46-55,2024-10-15
CUST-17,,26-35,2025-04-17
734-X,Netherlands,46-55,2025-03-28
800,Netherlands,36-45,2025-05-02
80,Netherlands,56-65,2024-12-10
147,Germany,36-45,2025-02-13
907,,46-55,2025-03-11
322,Netherlands,26-35,2024-05-14
CUST-748-X,Netherlands,,
158,Netherlands,26-35,
335,Germany,16-25,2024-03-02
403,Germany,26-35,2025-03-24
635,Portugal,36-45,2024-10-20
813,Germany,26-35,2025-02-23
70,Germany,26-35,2025-03-11
796,Netherlands,16-25,2025-03-03
569,France,36-45,
658-X,Italy,36-45,2025-03-08
733,Germany,26-35,2025-04-02
96,Italy,36-45,2025-02-15
916,Spain,36-45,2025-04-25
CUST-594-X,Spain,56-65,2024-08-11
338,Spain,26-35,2025-04-04
436,Germany,26-35,2025-03-10
653,Portugal,36-45,2025-05-12
744-X,Italy,36-45,2025-02-18
703,Germany,16-25,2025-03-30
465,Germany,26-35,2024-05-13
228,,36-45,2024-06-10
538,Netherlands,46-55,2025-04-01
361,Netherlands,26-35,2025-03-29
563-X,Netherlands,46-55,2025-04-06
601,Germany,56-65,2025-04-13
774,Portugal,46-55,2025-05-21
,Netherlands,46-55,2025-03-19
154,France,36-45,2025-01-16
CUST-785-X,France,56-65,2025-03-18
146,Italy,56-65,2024-12-11
388,France,26-35,2025-04-09
779,Netherlands,36-45,2025-04-12
827,France,46-55,2025-04-21
416,France,46-55,2025-04-01
743,Netherlands,16-25,2025-05-04
650,Italy,36-45,2024-04-07
346,Italy,56-65,2025-01-26
552,France,46-55,2024-11-13
742,Portugal,56-65,2024-05-30
600,Italy,36-45,2024-05-09
469,Italy,26-35,2025-04-02
294,Italy,16-25,2025-05-18
928,Netherlands,36-45,2025-03-24
654-X,,56-65,2025-05-05
576,Germany,46-55,2024-04-10
369-X,Netherlands,36-45,
554-X,France,56-65,2025-02-22
826,Portugal,26-35,2025-05-07
909,France,16-25,2024-05-14
380,Italy,46-55,
845,Germany,26-35,2025-02-23
741-X,Portugal,16-25,2025-03-23
191,Germany,16-25,2025-03-20
CUST-157,Italy,56-65,2025-05-11
679,Portugal,26-35,2024-12-14
CUST-71-X,,,2024-06-09
491,France,36-45,2024-12-13
928,Netherlands,36-45,2025-03-24
529,Netherlands,56-65,2025-02-14
101,France,16-25,2024-12-29
870,Italy,36-45,2024-12-03
325,Germany,,2025-03-26
517,Netherlands,26-35,2025-02-03
564,Italy,26-35,2025-02-23
497,Germany,,2025-02-10
702,Portugal,46-55,2025-06-08
16,Germany,26-35,2025-04-05
926,France,56-65,2024-01-22
987,Portugal,46-55,2025-04-24
CUST-144,,46-55,2025-03-09
885,,56-65,2025-04-10
502,France,16-25,2025-01-19
CUST-453,France,16-25,2025-02-08
CUST-251,,16-25,2024-07-31
985,,,
920,Spain,16-25,2025-02-22
948,Spain,26-35,2025-01-25
CUST-186,Netherlands,46-55,2025-03-27
717,Spain,46-55,2024-11-03
230,France,56-65,2025-02-26
978,France,36-45,2025-04-10
872,Netherlands,26-35,2025-02-07
684,Netherlands,56-65,2025-04-06
287,France,26-35,2024-01-15
901,Spain,26-35,2024-10-30
887,Italy,16-25,2025-03-20
484,France,56-65,2025-04-26
918,France,16-25,2024-02-02
902,Italy,16-25,2025-02-07
437,Italy,36-45,2024-01-13
956,Portugal,46-55,2025-04-02
429,France,36-45,2024-08-24
688,Italy,46-55,2025-04-02
890,Italy,16-25,2024-03-08
624,Spain,36-45,2025-03-11
211,France,16-25,2025-01-24
508,Italy,16-25,2025-03-18
653,Portugal,36-45,2025-05-12
747,Spain,36-45,2024-04-08
876,Italy,46-55,2025-03-10
922,Spain,16-25,2025-04-25
342,Netherlands,36-45,2025-04-24
836,Germany,56-65,2025-05-20
324,Italy,46-55,2024-07-19
731,Portugal,36-45,2024-12-25
544,Germany,,2024-04-05
214,Spain,16-25,2024-09-16
958,Germany,56-65,2025-02-23
476,Germany,56-65,2025-03-03
368,France,26-35,2024-09-11
549,Spain,46-55,2024-06-28
570,Spain,16-25,2025-04-13
CUST-967,Italy,26-35,2024-11-12
820,Spain,56-65,2025-01-29
927,Portugal,56-65,2024-08-25
950,,26-35,2024-10-10
165,France,26-35,2025-03-12
553,France,36-45,2025-03-17
546,,36-45,
488,Germany,46-55,2025-04-06
241,Spain,46-55,2025-03-27
996,Germany,16-25,2025-05-08
