country,product_id,stock_quantity
France,DE-143,24
FR,FR-144,99
FR,FR-145,51
FR,FR-146,86
FR,FR-147,60
FR,FR-148,72
France,DE-149,61
FR,FR-150,5
FR,FR-151,32
FR,FR-152,24
France,DE-153,52
France,DE-154,38
FR,FR-155,45
FR,FR-156,22
FR,FR-157,1
FR,FR-158,80
France,DE-159,68
FR,FR-160,95
FR,FR-161,37
FR,FR-162,75
FR,FR-163,51
FR,FR-164,54
FR,FR-165,71
FR,FR-166,66
France,DE-167,15
FR,FR-168,37
France,DE-169,37
FR,FR-170,53
FR,FR-171,3
FR,FR-172,39
FR,FR-173,71
FR,FR-174,84
FR,FR-175,1
France,DE-176,2
FR,FR-177,10
FR,FR-178,36
FR,FR-179,71
FR,FR-180,3
France,DE-181,12
FR,FR-182,79
FR,FR-183,81
France,DE-184,36
France,DE-185,18
FR,FR-186,71
FR,FR-187,46
FR,FR-188,60
France,DE-189,53
France,DE-190,33
FR,FR-191,88
France,DE-192,68
FR,FR-193,41
France,DE-194,97
FR,FR-195,2
FR,FR-196,71
FR,FR-197,67
FR,FR-198,61
FR,FR-199,4
FR,FR-200,48
FR,FR-201,11
FR,FR-202,12
FR,FR-203,65
FR,FR-204,5
FR,FR-205,68
FR,FR-206,11
FR,FR-207,11
FR,FR-208,5
France,DE-209,96
FR,FR-210,3
France,DE-211,28
FR,FR-212,11
FR,FR-213,62
FR,FR-214,53
FR,FR-215,99
FR,FR-216,41
France,DE-217,79
FR,FR-218,41
FR,FR-219,2
France,DE-220,64
FR,FR-221,84
FR,FR-222,65
FR,FR-223,26
France,DE-224,47
FR,FR-225,33
FR,FR-226,78
FR,FR-227,79
France,DE-228,95
FR,FR-229,20
FR,FR-230,25
FR,FR-231,3
FR,FR-232,68
FR,FR-233,79
FR,FR-234,5
FR,FR-235,12
FR,FR-236,29
FR,FR-237,68
FR,FR-238,45
FR,FR-239,28
France,DE-240,99
FR,FR-241,76
France,DE-242,28
FR,FR-243,3
France,DE-244,80
France,DE-245,4
France,DE-246,42
FR,FR-247,49
FR,FR-248,48
FR,FR-249,91
FR,FR-250,10
FR,FR-251,20
FR,FR-252,66
FR,FR-253,98
FR,FR-254,59
France,DE-255,1
FR,FR-256,40
FR,FR-257,51
FR,FR-258,16
FR,FR-259,25
FR,FR-260,99
FR,FR-261,69
France,DE-262,11
FR,FR-263,10
FR,FR-264,57
FR,FR-265,21
France,DE-266,78
FR,FR-267,46
FR,FR-268,41
FR,FR-269,18
FR,FR-270,28
FR,FR-271,57
FR,FR-272,89
FR,FR-273,12
FR,FR-274,29
FR,FR-275,33
France,DE-276,63
France,DE-277,42
FR,FR-278,33
FR,FR-279,84
FR,FR-280,1
FR,FR-281,45
France,DE-282,47
FR,FR-283,93
France,DE-284,98
France,DE-285,34
FR,FR-286,27
FR,FR-287,91
France,DE-288,75
France,DE-289,63
FR,FR-290,4
FR,FR-291,89
FR,FR-292,70
FR,FR-293,1
France,DE-294,42
FR,FR-295,77
FR,FR-296,42
FR,FR-297,23
FR,FR-298,30
FR,FR-299,57
FR,FR-300,29
FR,FR-301,17
FR,FR-302,16
FR,FR-303,76
France,DE-304,26
FR,FR-305,42
FR,FR-306,3
FR,FR-307,85
FR,FR-308,68
FR,FR-309,5
FR,FR-310,31
France,DE-311,39
FR,FR-312,47
FR,FR-313,2
FR,FR-314,63
FR,FR-315,17
FR,FR-316,36
FR,FR-317,36
FR,FR-318,30
France,DE-319,39
FR,FR-320,4
France,DE-321,73
FR,FR-322,78
France,DE-323,70
FR,FR-324,57
FR,FR-325,28
FR,FR-326,13
FR,FR-327,44
FR,FR-328,73
FR,FR-329,58
FR,FR-330,26
FR,FR-331,53
FR,FR-332,3
FR,FR-333,55
France,DE-334,15
FR,FR-335,46
FR,FR-336,33
FR,FR-337,55
FR,FR-338,62
FR,FR-339,69
FR,FR-340,72
France,DE-341,4
France,DE-342,41
FR,FR-343,96
France,DE-344,3
FR,FR-345,76
FR,FR-346,27
FR,FR-347,34
FR,FR-348,63
FR,FR-349,67
FR,FR-350,76
France,DE-351,55
France,DE-352,33
FR,FR-353,41
France,DE-354,4
FR,FR-355,95
France,DE-356,32
FR,FR-357,75
FR,FR-358,2
FR,FR-359,11
FR,FR-360,99
FR,FR-361,26
France,DE-362,42
FR,FR-363,18
FR,FR-364,52
FR,FR-365,57
FR,FR-366,48
FR,FR-367,51
France,DE-368,35
FR,FR-369,59
FR,FR-370,2
FR,FR-371,33
FR,FR-372,22
FR,FR-373,69
FR,FR-374,16
FR,FR-375,66
FR,FR-376,45
France,DE-377,54
FR,FR-378,29
FR,FR-379,74
FR,FR-380,17
FR,FR-381,25
France,DE-382,23
FR,FR-383,85
FR,FR-384,96
FR,FR-385,24
France,DE-386,75
FR,FR-387,41
France,DE-388,96
France,DE-389,72
France,DE-390,95
France,DE-391,60
FR,FR-392,34
FR,FR-393,67
FR,FR-394,72
FR,FR-395,71
FR,FR-396,31
FR,FR-397,67
France,DE-398,67
FR,FR-399,5
France,DE-400,2
FR,FR-401,1
FR,FR-402,51
FR,FR-403,79
FR,FR-404,1
FR,FR-405,63
FR,FR-406,69
FR,FR-407,17
France,DE-408,62
FR,FR-409,69
FR,FR-410,14
FR,FR-411,77
FR,FR-412,15
FR,FR-413,56
FR,FR-414,64
FR,FR-415,49
FR,FR-416,61
FR,FR-417,25
France,DE-418,22
FR,FR-419,39
France,DE-420,28
France,DE-421,26
France,DE-422,72
France,DE-423,28
FR,FR-424,67
FR,FR-425,1
FR,FR-426,99
France,DE-427,99
FR,FR-428,71
France,DE-429,32
FR,FR-430,18
FR,FR-431,21
FR,FR-432,10
FR,FR-433,67
FR,FR-434,3
FR,FR-435,43
France,DE-436,57
France,DE-437,98
FR,FR-438,10
FR,FR-439,25
France,DE-440,70
FR,FR-441,73
FR,FR-442,72
France,DE-443,78
FR,FR-444,31
France,DE-445,76
FR,FR-446,85
France,DE-447,35
FR,FR-448,25
FR,FR-449,60
FR,FR-450,95
France,DE-451,66
FR,FR-452,1
France,DE-453,87
FR,FR-454,78
FR,FR-455,56
FR,FR-456,71
France,DE-457,78
France,DE-458,85
FR,FR-459,25
FR,FR-460,99
FR,FR-461,99
FR,FR-462,57
FR,FR-463,94
FR,FR-464,48
France,DE-465,42
FR,FR-466,32
FR,FR-467,19
France,DE-468,78
FR,FR-469,43
FR,FR-470,61
FR,FR-471,5
FR,FR-472,28
FR,FR-473,67
FR,FR-474,10
FR,FR-475,78
France,DE-476,13
FR,FR-477,25
FR,FR-478,33
FR,FR-479,89
FR,FR-480,11
FR,FR-481,41
FR,FR-482,93
FR,FR-483,33
FR,FR-484,21
FR,FR-485,59
FR,FR-486,44
FR,FR-487,42
FR,FR-488,42
FR,FR-489,70
FR,FR-490,60
FR,FR-491,52
FR,FR-492,21
FR,FR-493,76
FR,FR-494,74
FR,FR-495,42
FR,FR-496,5
FR,FR-497,83
FR,FR-498,52
FR,FR-499,53
France,DE-500,38
DE,DE-1,1
DE,DE-2,1
DE,DE-3,1
Germany,DE-4,1
DE,DE-5,1
DE,DE-6,1
DE,DE-7,1
Germany,DE-8,1
DE,DE-9,1
Germany,DE-10,1
DE,DE-11,1
DE,DE-12,1
Germany,DE-13,1
DE,DE-14,1
DE,DE-15,1
Germany,DE-16,1
DE,DE-17,1
DE,DE-18,1
DE,DE-19,1
DE,DE-20,1
DE,DE-21,1
Germany,DE-22,1
DE,DE-23,1
DE,DE-24,1
DE,DE-25,1
DE,DE-26,1
DE,DE-27,1
DE,DE-28,1
DE,DE-29,1
DE,DE-30,1
Germany,DE-31,1
Germany,DE-32,1
DE,DE-33,1
DE,DE-34,1
DE,DE-35,1
DE,DE-36,1
Germany,DE-37,1
Germany,DE-38,1
DE,DE-39,1
DE,DE-40,1
DE,DE-41,1
DE,DE-42,1
DE,DE-43,1
DE,DE-44,1
DE,DE-45,1
DE,DE-46,1
Germany,DE-47,1
DE,DE-48,1
DE,DE-49,1
Germany,DE-50,1
DE,DE-51,1
DE,DE-52,1
DE,DE-53,1
DE,DE-54,1
DE,DE-55,1
Germany,DE-56,1
Germany,DE-57,1
Germany,DE-58,1
DE,DE-59,1
Germany,DE-60,1
DE,DE-61,1
DE,DE-62,1
Germany,DE-63,1
DE,DE-64,1
DE,DE-65,1
DE,DE-66,1
DE,DE-67,1
DE,DE-68,1
DE,DE-69,1
Germany,DE-70,1
Germany,DE-71,1
DE,DE-72,1
DE,DE-73,1
DE,DE-74,1
DE,DE-75,1
Germany,DE-76,1
DE,DE-77,1
DE,DE-78,1
DE,DE-79,1
DE,DE-80,1
DE,DE-81,1
DE,DE-82,1
DE,DE-83,1
DE,DE-84,1
DE,DE-85,1
Germany,DE-86,1
DE,DE-87,1
DE,DE-88,1
DE,DE-89,1
DE,DE-90,1
DE,DE-91,1
DE,DE-92,1
DE,DE-93,1
DE,DE-94,1
DE,DE-95,1
Germany,DE-96,1
DE,DE-97,1
Germany,DE-98,1
DE,DE-99,1
DE,DE-100,1
DE,DE-101,1
DE,DE-102,1
DE,DE-103,1
DE,DE-104,1
DE,DE-105,1
Germany,DE-106,1
DE,DE-107,1
DE,DE-108,1
DE,DE-109,1
DE,DE-110,1
DE,DE-111,1
DE,DE-112,1
DE,DE-113,1
DE,DE-114,1
DE,DE-115,1
DE,DE-116,1
DE,DE-117,1
DE,DE-118,1
DE,DE-119,1
DE,DE-120,1
DE,DE-121,1
DE,DE-122,1
DE,DE-123,1
DE,DE-124,1
DE,DE-125,1
Germany,DE-126,1
DE,DE-127,1
DE,DE-128,1
DE,DE-129,1
DE,DE-130,1
DE,DE-131,1
Germany,DE-132,1
DE,DE-133,1
Germany,DE-134,1
DE,DE-135,1
Germany,DE-136,1
DE,DE-137,1
DE,DE-138,1
DE,DE-139,1
DE,DE-140,1
DE,DE-141,1
DE,DE-142,1
DE,DE-143,1
Germany,DE-144,1
DE,DE-145,1
DE,DE-146,1
Germany,DE-147,1
DE,DE-148,1
Germany,DE-149,1
DE,DE-150,1
DE,DE-151,1
DE,DE-152,1
Germany,DE-153,1
DE,DE-154,1
DE,DE-155,1
Germany,DE-156,1
DE,DE-157,1
Germany,DE-158,1
DE,DE-159,1
DE,DE-160,1
DE,DE-161,1
DE,DE-162,1
DE,DE-163,1
DE,DE-164,1
DE,DE-165,1
Germany,DE-166,1
DE,DE-167,1
DE,DE-168,1
DE,DE-169,1
DE,DE-170,1
DE,DE-171,1
DE,DE-172,1
DE,DE-173,1
DE,DE-174,1
DE,DE-175,1
DE,DE-176,1
DE,DE-177,1
Germany,DE-178,1
DE,DE-179,1
Germany,DE-180,1
DE,DE-181,1
DE,DE-182,1
DE,DE-183,1
DE,DE-184,1
DE,DE-185,1
DE,DE-186,1
DE,DE-187,1
DE,DE-188,1
DE,DE-189,1
DE,DE-190,1
DE,DE-191,1
DE,DE-192,1
Germany,DE-193,1
DE,DE-194,1
DE,DE-195,1
DE,DE-196,1
DE,DE-197,1
DE,DE-198,1
DE,DE-199,1
DE,DE-200,1
DE,DE-201,1
DE,DE-202,1
DE,DE-203,1
Germany,DE-204,1
Germany,DE-205,1
DE,DE-206,1
DE,DE-207,1
DE,DE-208,1
DE,DE-209,1
DE,DE-210,1
DE,DE-211,1
DE,DE-212,1
DE,DE-213,1
DE,DE-214,1
DE,DE-215,1
DE,DE-216,1
DE,DE-217,1
Germany,DE-218,1
DE,DE-219,1
Germany,DE-220,1
DE,DE-221,1
DE,DE-222,1
DE,DE-223,1
DE,DE-224,1
DE,DE-225,1
Germany,DE-226,1
DE,DE-227,1
DE,DE-228,1
Germany,DE-229,1
DE,DE-230,1
DE,DE-231,1
DE,DE-232,1
DE,DE-233,1
DE,DE-234,1
DE,DE-235,1
DE,DE-236,1
DE,DE-237,1
DE,DE-238,1
DE,DE-239,1
DE,DE-240,1
DE,DE-241,1
DE,DE-242,1
DE,DE-243,1
Germany,DE-244,1
Germany,DE-245,1
DE,DE-246,1
DE,DE-247,1
Germany,DE-248,1
DE,DE-249,1
DE,DE-250,1
DE,DE-251,1
DE,DE-252,1
DE,DE-253,1
DE,DE-254,1
DE,DE-255,1
DE,DE-256,1
DE,DE-257,1
DE,DE-258,1
DE,DE-259,1
DE,DE-260,1
Germany,DE-261,1
Germany,DE-262,1
DE,DE-263,1
DE,DE-264,1
DE,DE-265,1
Germany,DE-266,1
DE,DE-267,1
DE,DE-268,1
DE,DE-269,1
DE,DE-270,1
DE,DE-271,1
DE,DE-272,1
Germany,DE-273,1
DE,DE-274,1
DE,DE-275,1
DE,DE-276,1
DE,DE-277,1
DE,DE-278,1
Germany,DE-279,1
DE,DE-280,1
Germany,DE-281,1
Germany,DE-282,1
DE,DE-283,1
DE,DE-284,1
Germany,DE-285,1
DE,DE-286,1
DE,DE-287,1
DE,DE-288,1
Germany,DE-289,1
DE,DE-290,1
DE,DE-291,1
DE,DE-292,1
Germany,DE-293,1
DE,DE-294,1
DE,DE-295,1
DE,DE-296,1
DE,DE-297,1
DE,DE-298,1
DE,DE-299,1
DE,DE-300,1
DE,DE-301,1
Germany,DE-302,1
DE,DE-303,1
DE,DE-304,1
DE,DE-305,1
Germany,DE-306,1
DE,DE-307,1
Germany,DE-308,1
Germany,DE-309,1
DE,DE-310,1
DE,DE-311,1
DE,DE-312,1
DE,DE-313,1
DE,DE-314,1
Germany,DE-315,1
DE,DE-316,1
DE,DE-317,1
DE,DE-318,1
DE,DE-319,1
DE,DE-320,1
DE,DE-321,1
DE,DE-322,1
DE,DE-323,1
DE,DE-324,1
DE,DE-325,1
DE,DE-326,1
DE,DE-327,1
DE,DE-328,1
DE,DE-329,1
Germany,DE-330,1
DE,DE-331,1
Germany,DE-332,1
DE,DE-333,1
DE,DE-334,1
DE,DE-335,1
DE,DE-336,1
DE,DE-337,1
DE,DE-338,1
DE,DE-339,1
Germany,DE-340,1
DE,DE-341,1
Germany,DE-342,1
Germany,DE-343,1
DE,DE-344,1
Germany,DE-345,1
DE,DE-346,1
DE,DE-347,1
DE,DE-348,1
DE,DE-349,1
DE,DE-350,1
DE,DE-351,1
Germany,DE-352,1
DE,DE-353,1
DE,DE-354,1
DE,DE-355,1
DE,DE-356,1
DE,DE-357,1
DE,DE-358,1
DE,DE-359,1
DE,DE-360,1
DE,DE-361,1
DE,DE-362,1
Germany,DE-363,1
DE,DE-364,1
DE,DE-365,1
DE,DE-366,1
DE,DE-367,1
DE,DE-368,1
DE,DE-369,1
DE,DE-370,1
DE,DE-371,1
DE,DE-372,1
DE,DE-373,1
Germany,DE-374,1
DE,DE-375,1
Germany,DE-376,1
DE,DE-377,1
DE,DE-378,1
DE,DE-379,1
DE,DE-380,1
DE,DE-381,1
DE,DE-382,1
DE,DE-383,1
Germany,DE-384,1
Germany,DE-385,1
DE,DE-386,1
DE,DE-387,1
Germany,DE-388,1
DE,DE-389,1
DE,DE-390,1
Germany,DE-391,1
DE,DE-392,1
DE,DE-393,1
DE,DE-394,1
Germany,DE-395,1
DE,DE-396,1
Germany,DE-397,1
DE,DE-398,1
DE,DE-399,1
DE,DE-400,1
DE,DE-401,1
DE,DE-402,1
DE,DE-403,1
Germany,DE-404,1
DE,DE-405,1
Germany,DE-406,1
DE,DE-407,1
DE,DE-408,1
Germany,DE-409,1
DE,DE-410,1
Germany,DE-411,1
Germany,DE-412,1
DE,DE-413,1
DE,DE-414,1
DE,DE-415,1
DE,DE-416,1
DE,DE-417,1
DE,DE-418,1
DE,DE-419,1
Germany,DE-420,1
DE,DE-421,1
DE,DE-422,1
DE,DE-423,1
DE,DE-424,1
DE,DE-425,1
DE,DE-426,1
DE,DE-427,1
Germany,DE-428,1
DE,DE-429,1
Germany,DE-430,1
DE,DE-431,1
DE,DE-432,1
DE,DE-433,1
Germany,DE-434,1
DE,DE-435,1
Germany,DE-436,1
DE,DE-437,1
DE,DE-438,1
DE,DE-439,1
DE,DE-440,1
Germany,DE-441,1
DE,DE-442,1
DE,DE-443,1
DE,DE-444,1
Germany,DE-445,1
DE,DE-446,1
DE,DE-447,1
DE,DE-448,1
Germany,DE-449,1
Germany,DE-450,1
DE,DE-451,1
DE,DE-452,1
DE,DE-453,1
DE,DE-454,1
Germany,DE-455,1
DE,DE-456,1
DE,DE-457,1
DE,DE-458,1
DE,DE-459,1
DE,DE-460,1
Germany,DE-461,1
DE,DE-462,1
DE,DE-463,1
DE,DE-464,1
DE,DE-465,1
DE,DE-466,1
DE,DE-467,1
Germany,DE-468,1
DE,DE-469,1
DE,DE-470,1
DE,DE-471,1
DE,DE-472,1
DE,DE-473,1
DE,DE-474,1
DE,DE-475,1
DE,DE-476,1
DE,DE-477,1
DE,DE-478,1
Germany,DE-479,1
DE,DE-480,1
DE,DE-481,1
DE,DE-482,1
DE,DE-483,1
DE,DE-484,1
DE,DE-485,1
DE,DE-486,1
DE,DE-487,1
DE,DE-488,1
DE,DE-489,1
DE,DE-490,1
DE,DE-491,1
DE,DE-492,1
DE,DE-493,1
DE,DE-494,1
DE,DE-495,1
DE,DE-496,1
DE,DE-497,1
DE,DE-498,1
DE,DE-499,1
DE,DE-500,1
